日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/11/16,"839,048","58,088,979",69.10,69.90,68.80,69.00, 0.00,570
110/11/17,"502,296","35,032,951",69.10,70.10,69.10,70.10,+1.10,416
110/11/18,"692,845","48,811,751",70.10,70.70,70.00,70.60,+0.50,692
110/11/19,"1,820,081","130,475,748",71.80,72.30,70.90,71.10,+0.50,"1,759"
110/11/22,"2,898,200","210,521,602",71.60,73.70,71.50,71.80,+0.70,"2,240"
110/11/23,"1,294,175","91,902,439",71.80,71.90,70.50,70.50,-1.30,"1,039"
110/11/24,"498,646","35,147,828",71.40,71.40,70.20,70.50, 0.00,519
110/11/25,"431,942","30,418,063",71.10,71.10,70.10,70.10,-0.40,350
110/11/26,"758,348","52,567,153",69.90,70.10,69.10,69.10,-1.00,633
110/11/29,"577,795","39,678,839",68.60,69.20,68.10,69.00,-0.10,478
110/11/30,"586,518","40,898,912",69.30,70.20,69.00,69.30,+0.30,437
110/12/01,"264,734","18,378,234",69.40,69.80,69.00,69.60,+0.30,220
110/12/02,"682,131","47,926,583",69.70,71.00,69.60,69.80,+0.20,515
110/12/03,"406,949","28,428,822",69.80,70.20,69.70,69.80, 0.00,388
110/12/06,"346,631","24,287,799",70.00,70.30,69.60,70.30,+0.50,290
110/12/07,"287,253","20,113,697",70.30,70.30,69.80,70.30, 0.00,215
110/12/08,"412,533","28,980,574",70.60,70.80,70.00,70.30, 0.00,316
110/12/09,"246,430","17,304,853",70.50,70.50,70.00,70.20,-0.10,280
110/12/10,"249,361","17,524,478",70.20,70.50,70.00,70.20, 0.00,218
110/12/13,"454,536","32,085,461",70.20,70.90,70.10,70.70,+0.50,350
110/12/14,"684,412","48,423,954",70.70,71.20,70.20,70.60,-0.10,638
110/12/15,"447,618","31,578,271",70.70,70.70,70.40,70.50,-0.10,715
110/12/16,"1,187,543","84,188,782",70.70,71.40,70.40,71.30,+0.80,905
110/12/17,"2,781,762","201,863,669",71.90,73.20,71.80,72.60,+1.30,"2,371"
110/12/20,"1,587,271","115,746,397",73.10,73.50,72.30,72.90,+0.30,"1,421"
110/12/21,"1,238,363","90,573,883",73.40,73.50,72.70,73.10,+0.20,"1,482"
110/12/22,"2,043,382","150,452,241",74.00,74.70,72.70,72.80,-0.30,"1,893"
110/12/23,"2,326,094","171,620,001",73.60,74.30,73.30,73.90,+1.10,"1,820"
110/12/24,"1,624,703","120,320,882",74.30,74.60,73.70,73.80,-0.10,"1,566"
110/12/27,"1,421,458","104,581,961",74.40,74.40,72.90,73.80, 0.00,"1,470"
110/12/28,"987,116","72,357,498",73.90,74.20,73.00,73.00,-0.80,889
110/12/29,"609,743","44,341,713",73.20,73.50,72.30,73.00, 0.00,632
110/12/30,"824,719","60,288,885",72.90,73.50,72.70,73.10,+0.10,820
